date,business_category,region,transaction_count,total_volume,avg_transaction_size,total_fees,cross_border_count,take_rate,cross_border_ratio
2023-01-01,Digital Goods,Asia Pacific,1,133.9,133.9,3.65,0,0.027259148618371917,0.0
2023-01-01,Digital Goods,Europe,3,66.14,22.046666666666667,2.7,0,0.04082249773208346,0.0
2023-01-01,Digital Goods,Latin America,1,45.04,45.04,1.43,0,0.03174955595026643,0.0
2023-01-01,Digital Goods,North America,1,68.21,68.21,2.01,0,0.029467819967746663,0.0
2023-01-01,E-commerce,Europe,3,58.97,19.656666666666666,2.38,0,0.040359504832965916,0.0
2023-01-01,E-commerce,Latin America,1,13.69,13.69,0.7,0,0.05113221329437546,0.0
2023-01-01,E-commerce,North America,3,62.38999999999999,20.796666666666663,2.62,1,0.04199390928033339,0.3333333333333333
2023-01-01,Education,Asia Pacific,1,9.93,9.93,0.59,0,0.0594159113796576,0.0
2023-01-01,Education,Europe,4,187.16,46.79,5.88,0,0.03141696943791408,0.0
2023-01-01,Education,Latin America,3,55.91,18.636666666666667,2.5100000000000002,0,0.044893578966195676,0.0
2023-01-01,Education,North America,3,103.52000000000001,34.50666666666667,4.81,1,0.04646445131375579,0.3333333333333333
2023-01-01,Entertainment,Asia Pacific,3,84.89,28.296666666666667,2.77,0,0.0326304629520556,0.0
2023-01-01,Entertainment,Europe,3,31.97,10.656666666666666,1.8699999999999999,1,0.058492336565530184,0.3333333333333333
2023-01-01,Entertainment,Latin America,4,148.68,37.17,5.41,1,0.03638687113263384,0.25
2023-01-01,Entertainment,North America,4,156.01,39.0025,5.38,0,0.03448496891224922,0.0
2023-01-01,Food & Delivery,Asia Pacific,2,36.41,18.205,1.51,0,0.04147212304312003,0.0
2023-01-01,Food & Delivery,Europe,1,17.23,17.23,0.8,0,0.046430644225188625,0.0
2023-01-01,Food & Delivery,Latin America,1,15.81,15.81,0.7,0,0.044275774826059454,0.0
2023-01-01,Food & Delivery,MEA,1,6.08,6.08,0.45,0,0.07401315789473684,0.0
2023-01-01,Food & Delivery,North America,6,356.99,59.498333333333335,11.53,0,0.032297823468444495,0.0
2023-01-01,Gaming,Asia Pacific,1,47.26,47.26,1.48,0,0.03131612357173085,0.0
2023-01-01,Gaming,Europe,3,163.35,54.449999999999996,6.18,2,0.03783287419651056,0.6666666666666666
2023-01-01,Gaming,Latin America,1,4.29,4.29,0.41,0,0.09557109557109557,0.0
2023-01-01,Gaming,North America,2,115.68,57.84,3.5,0,0.030255878284923925,0.0
2023-01-01,Healthcare,Asia Pacific,1,9.31,9.31,0.71,1,0.07626208378088077,1.0
2023-01-01,Healthcare,Europe,1,1.32,1.32,0.33,0,0.25,0.0
2023-01-01,Healthcare,Latin America,1,7.82,7.82,0.5,0,0.0639386189258312,0.0
2023-01-01,Healthcare,North America,3,118.2,39.4,3.5,0,0.02961082910321489,0.0
2023-01-01,Retail,Asia Pacific,3,113.24000000000001,37.74666666666667,3.5,0,0.030907806428823736,0.0
2023-01-01,Retail,Europe,3,77.59,25.863333333333333,2.6100000000000003,0,0.0336383554581776,0.0
2023-01-01,Retail,MEA,3,801.04,267.0133333333333,20.92,0,0.026116049136123042,0.0
2023-01-01,Retail,North America,4,60.28,15.07,3.02,1,0.05009953550099536,0.25
2023-01-01,Services,Asia Pacific,2,24.990000000000002,12.495000000000001,1.2200000000000002,0,0.048819527811124454,0.0
2023-01-01,Services,Europe,3,298.77,99.58999999999999,7.940000000000001,0,0.026575626736285444,0.0
2023-01-01,Services,North America,3,204.17000000000002,68.05666666666667,7.1899999999999995,1,0.035215751579566044,0.3333333333333333
2023-01-01,Software/SaaS,Asia Pacific,3,58.16,19.386666666666667,2.8,1,0.048143053645116916,0.3333333333333333
2023-01-01,Software/SaaS,Europe,6,198.29999999999998,33.05,7.12,1,0.03590519415027736,0.16666666666666666
2023-01-01,Software/SaaS,Latin America,2,60.010000000000005,30.005000000000003,2.0999999999999996,0,0.03499416763872687,0.0
2023-01-01,Software/SaaS,MEA,1,32.97,32.97,1.26,0,0.03821656050955414,0.0
2023-01-01,Software/SaaS,North America,4,535.4200000000001,133.85500000000002,13.69,0,0.025568712412685365,0.0
2023-01-01,Subscription,Asia Pacific,2,34.17,17.085,1.45,0,0.0424348844015218,0.0
2023-01-01,Subscription,Europe,4,127.09,31.7725,4.5600000000000005,0,0.03588008497914864,0.0
2023-01-01,Subscription,North America,3,317.82,105.94,8.79,0,0.02765716443269775,0.0
2023-01-01,Travel,Europe,2,46.519999999999996,23.259999999999998,1.76,0,0.03783319002579536,0.0
2023-01-01,Travel,Latin America,4,134.52,33.63,5.04,1,0.03746654772524531,0.25
2023-01-01,Travel,North America,1,63.4,63.4,3.09,1,0.04873817034700315,1.0
2023-01-02,Digital Goods,Asia Pacific,2,51.510000000000005,25.755000000000003,1.89,0,0.0366919044845661,0.0
2023-01-02,Digital Goods,Europe,1,80.83,80.83,2.32,0,0.02870221452431028,0.0
2023-01-02,Digital Goods,North America,6,396.65000000000003,66.10833333333333,11.4,0,0.028740703390898775,0.0
