merchant_id,business_category,region,country,account_created,account_age_months,pricing_tier,monthly_volume_usd,avg_transaction_size,cross_border_enabled,churn_risk_score,has_premium_support,integration_type,dispute_rate,refund_rate
MCFCD208495D5,Entertainment,Europe,IT,2025-08-24,5,standard,6371.44,13.08,False,0.4305,False,API,0.0702,0.0738
MC4CA4238A0B9,Food & Delivery,North America,MX,2024-12-27,13,standard,191.0,19.21,False,0.1748,False,API,0.0013,0.0345
MC81E728D9D4C,Food & Delivery,North America,US,2022-07-11,43,standard,2387.41,152.05,True,0.0661,False,Plugin,0.0264,0.0613
MECCBC87E4B5C,E-commerce,North America,US,2024-04-01,22,standard,2315.07,31.7,True,0.1309,False,API,0.0003,0.0867
MA87FF679A2F3,Entertainment,Asia Pacific,IN,2022-02-11,48,standard,459.35,10.01,True,0.285,False,Hosted,0.011,0.0988
ME4DA3B7FBBCE,Gaming,North America,MX,2024-09-28,16,standard,5697.36,167.82,False,0.3092,False,Hosted,0.0063,0.0136
M1679091C5A88,Services,North America,MX,2021-07-16,55,standard,1611.91,24.73,True,0.0689,False,SDK,0.0154,0.0913
M8F14E45FCEEA,E-commerce,North America,CA,2019-07-27,79,standard,598.51,21.29,True,0.2315,False,Hosted,0.0227,0.2194
MC9F0F895FB98,Subscription,Europe,UK,2023-06-06,32,preferred,32267.74,35.76,False,0.0629,True,Hosted,0.0441,0.0347
M45C48CCE2E2D,Education,Europe,DE,2022-06-11,44,standard,2863.34,74.7,False,0.1752,False,Hosted,0.0179,0.056
MD3D9446802A4,Healthcare,Asia Pacific,SG,2022-03-13,47,preferred,17435.48,198.06,False,0.0853,True,API,0.0027,0.0872
M6512BD43D9CA,Retail,Asia Pacific,SG,2023-12-03,26,preferred,12231.12,32.74,False,0.0675,True,SDK,0.0081,0.0866
MC20AD4D76FE9,E-commerce,Europe,UK,2025-11-22,2,standard,2988.2,54.96,False,0.2515,False,Hosted,0.0754,0.0566
MC51CE410C124,Gaming,Asia Pacific,SG,2024-05-01,21,standard,2412.92,11.88,False,0.2182,False,API,0.0287,0.0424
MAAB3238922BC,Subscription,North America,MX,2024-08-29,17,standard,8211.9,39.5,False,0.2648,False,SDK,0.025,0.04
M9BF31C7FF062,Food & Delivery,North America,MX,2025-09-23,4,standard,7575.59,22.39,False,0.4416,False,Hosted,0.0028,0.0535
