user_id,region,country,account_created,account_age_days,account_status,preferred_payment,avg_monthly_transactions,lifetime_value_usd,has_verified_email,has_verified_phone
U8155BC545F84,Europe,NL,2025-10-12,101,active,card,5,61.05,True,True
U59E711D152DE,Latin America,BR,2025-11-30,52,active,card,7,35.16,True,True
U877466FFD21F,North America,CA,2025-01-15,371,active,card,2,18.78,True,True
UF31C14733527,Latin America,CO,2025-05-31,235,active,bank,11,22.59,True,True
UF68EC4F0C6DF,Asia Pacific,JP,2025-08-29,145,active,card,6,91.52,True,True
U0F190E6E164E,Europe,ES,2024-01-05,747,active,bank,7,17.51,True,True
UA9588AA82388,Europe,IT,2025-11-23,59,active,card,16,249.82,True,True
U66A516F865FC,Europe,FR,2024-05-18,613,active,crypto,3,9.52,True,True
U7CEBD0178B69,North America,US,2024-04-15,646,active,card,2,1750.94,True,True
UAD1DF793247A,MEA,NG,2022-09-11,1228,inactive,card,15,544.94,True,True
U3E267FF3C8B6,Europe,DE,2024-11-07,440,active,card,13,221.25,True,False
U87DBE662A0F9,Latin America,AR,2025-11-01,81,active,balance,24,1645.98,True,True
UF1073DCFACB6,Europe,IT,2025-10-27,86,active,card,1,24.24,True,True
U880C6DE112A0,Europe,UK,2025-12-03,49,active,bank,6,203.46,True,True
U7BEF20627BB5,MEA,AE,2025-10-30,83,active,card,1,40.7,True,True
UB5A5E2E8958E,Latin America,AR,2025-10-13,100,active,card,4,843.68,True,True
UF67D389EBFB8,Latin America,AR,2025-04-20,276,inactive,crypto,0,431.1,True,True
U2A52B09EF991,Europe,IT,2025-09-06,137,active,card,0,1520.89,True,False
U9558075E9454,Europe,FR,2024-11-12,435,active,balance,1,39.63,True,True
UD0D9A78E15B3,Latin America,CL,2025-11-28,54,active,bank,1,5723.15,True,True
UE66174C2D569,Latin America,CO,2023-09-29,845,active,card,5,207.79,True,False
U4883B75DFE17,North America,CA,2025-06-30,205,active,balance,2,285.65,True,True
U9A498942EF50,North America,MX,2024-12-22,395,active,bank,2,49.36,True,False
U82CD979A2B79,Asia Pacific,AU,2025-10-25,88,active,bank,1,131.73,True,False
U6AD0F8BF32B1,Asia Pacific,SG,2023-07-14,922,active,balance,1,152.09,True,True
UF85772ED39DF,Europe,ES,2025-07-31,174,active,balance,6,3.45,True,False
UC96F230A463E,Asia Pacific,IN,2025-09-26,117,active,balance,10,1261.45,True,False
UD29271FE00D1,Asia Pacific,SG,2025-04-12,284,active,balance,9,13.84,True,True
U8AC161340473,North America,US,2025-11-16,66,active,card,1,117.03,True,False
U2F25B940DC58,North America,MX,2025-11-08,74,active,bank,5,177.42,True,True
U971B501DFA76,Asia Pacific,IN,2024-06-17,583,active,card,3,246.53,True,True
U3B22D69D80B9,North America,US,2025-03-30,297,active,bank,5,160.0,True,True
UFD8E99B43D8C,Europe,UK,2025-09-16,127,active,balance,4,40.8,True,True
UD8859E5FDA6D,Asia Pacific,JP,2024-08-26,513,active,card,1,26.25,True,True
U3B3A00E287D5,Latin America,BR,2025-11-17,65,active,balance,3,42.41,True,True
UA685418C705A,Asia Pacific,JP,2024-06-04,596,active,card,11,55.65,True,True
U18A96165D6F8,North America,US,2025-10-26,87,active,bank,4,106.43,True,False
U10271F9E8B38,North America,US,2025-06-17,218,inactive,balance,7,6.63,True,True
U2D229D073249,Europe,ES,2025-12-17,35,active,card,12,64.61,True,False
